label	text	
anger	I felt ... when being called a liar by a friend resulting in an argument	
anger	A manager and colleague had a meeting, then called me in to confront me about my behaviour. I was ... and felt put on the spot and defensive. In hindsight it was handled incorrectly and I only I wish instead of reacting in ... and ... I had instead asked for 10 details of the meeting and some time to prepare beforehand.	
anger	My ex partner lied to me for 4 years and when I found out he showed no remorse and treated me like I was the one in the wrong	
anger	my parents had accidentally found a photo of my boyfriend and I kissing. They did not know I was in a relationship and long story short they forced me to end the relationship or else I would be taken out of college and kicked out.	
anger	"""My partner accused me of """"not pulling my weight"""""""	
anger	a friend decided to stop speaking with me based on a lie.	
anger	Someone commented on my baby crying whilst i was trying to checkout my shopping	
anger	I felt ... when somebody let down somebody I love on a special day.	
anger	My daughter was accused of stealing with no proof despite there being plenty other people around who could have done it	
anger	my friend broke my trust and a promise to me	
anger	one of my friends hit another one of my friends while drunk.	
anger	Someone was picking on my daughter at school	
anger	A friend decided to cut all ties with me for a reason I didn’t understand. It felt out of the blue and I’d just moved to the same city as them so I also felt vulnerable.	
anger	My ex boyfriend started dating a new girl only a few months after he broke up with me.	
anger	My partner made a mess of the house I has just spent hours cleaning. We don't live together so it's my home.	
anger	A partner I thought considered me a good person accused me of being cruel to their child, which I would never do and made me ... they thought I could.	
anger	My waters broke early during pregnancy	
anger	Someone very close to me hid and deleted messages from a drug dealer	
anger	My home insurance company messed up my insurance claim	
anger	when I found a voice message on my phone confirming my fathers affair	
anger	my rent was due, as usual on the 17th of the month. I’ve spent the whole month worrying about money and bills and not being able to afford to live. On top of this, it is my daughters first birthday a week after rent is due and a week before payday. I felt ... at the world, at myself, at my situation and at my family. How do my partner and I spend all our time working and we can’t afford to pay our rent or guiltlessly give our daughter the perfect first birthday, even on a budget. I don’t need it to be at all expensive, I just wanted to be able to afford the basics!	
anger	My boss would not give me time off for bereavement...so I quit.	
anger	A friend mocked me, because I felt belittled	
anger	I did not feel I was being listened to.	
anger	I earn more money than my husband but I don’t see the benefit of it as I have to pay off his debt	
anger	I ended things with my partner	
anger	I was running late in the morning after having a long night where I couldn't sleep. Went downstairs in a rush, wanted to make myself coffee but the machine just kept blinking and not warming up -- got ... at the machine because it wasn't working right when i felt i needed the most	
anger	People don’t do their jobs	
anger	Someone I interact with at work called me at 5pm the evening before a bank holiday to complain about an email update I had sent	
anger	When someone threatened me in front of my children	
anger	The government put up NI rates	
anger	When my boyfriend's boss dismissed him	
anger	When I was doing bad in my college classes	
anger	My mother told me that she hated me, and wished I was never born. I felt ... because I had tried to support her on numerous occasions and had it thrown back in my face.	
anger	my brother turned his girlfriend against me whilst I was abroad with her.	
anger	My sister-in-law disrespected me.	
anger	.. when a person I served at work ignored what I asked causing me to make a computer error	
anger	My ex boyfriend would control whatI did and who I could see	
anger	My son was moved down to a lower level team so that the son of his position coach could move to the varsity level team. In the game right after this happened, his son was responsible for multiple penalty plays and committed multiple errors.	
anger	My mum passed away from cancer	
anger	I felt ... because my boyfriend cheated on me	
anger	No one helps around the house	
anger	Break up with partner	
anger	My boss disciplined me even though I had done nothing wrong	
anger	I felt ... when I was questioned about the validity or factual accuracy of a comment I had made and was mocked for it, despite it being correct.	
anger	when I went to say hi to my boss who turned his head just as I was about to speak and pretended to talk to someone else.	
anger	My mother and I got into a heated argument about my finances.	
anger	my friend said something offensive to me, I voiced that I was hurt, and he invalidated my feelings.	
anger	Something that made me ... was when I completed an assignment for my degree and I was 1% off a first. Why would someone give me a mark so close, what's the point?	
anger	Life threw an unexpected wrench in my plans	
anger	Although I work full time I still have to do all the housework	
anger	another parent at school wrongly accused my child of saying/doing something that he didn't do. This was not the first time, in fact it had gone on for about two years and this time was the final straw. It was time for me to stick up for my child and put a stop to it once and for all. My child was a target i guess, we had concerns over autism/adhd and this parent really took advantage of that. On this occasion, it was a Friday afternoon and the teacher asked to speak with me, so in i went. I knew it was serious as the Deputy head was also there. They explained that my child (year 3) had told a reception kid that his grandad was going to bring a gun to school (now bear in mind that this parent also knows that we (my husband) has a shotgun licence) and that her child was scared. This was also not the first time that she had made reference to my child and guns at school. I sat, i listened and i thought, its not really my childs style. I asked when this was said and i was told it was said over the xbox. I asked if this was by message or speaking on the mic and the teacher confirmed it was over the mic. This is where i knew that this was not right as my child headset was broken and he was unable to talk to people unless he sent a message! The ... rose up inside me. This parent lives right next to the school and when i left i was so ... that i went to confront and started banging on the door (not like me at all). She wasn't in and in hindsight it was probably a good thing she wasn't in! I was so ... that afternoon that i really dont know what i would have done if she answered as ... had just consumed me. I went home and spoke with my child and he completely denied the allegations and i believed him. I was seething all weekend and by the Monday she contacted me and asked if we could sort things out. Long story short, she admitted that it was a case of he said, she said, Ben said and that she had not hear the words come out of his mouth. This was 6 years ago and still to this day i can not forgive all that she put my child through.	
anger	i was being bullied in school	
anger	An older man was in the wrong lane at a round about. He nearly hit me, I had to slam on and his answer was well move then I didn’t hit you, it’s no big deal!	
anger	my car broke unexpectedly and needed to get repaired before I could drive it again, unable to get on public transport.	
anger	when my boyfriends boss said a raise wouldn't make him happier	
anger	I felt ... when I witnessed two middle aged men knock over an elderly person with no remorse or stopping to help the person get back to their feet also didn’t apologise	
anger	Loss of job covid	
anger	I was stuck away from home with no ride for over a week longer than planned.	
anger	I felt ... when people at work don’t use their common sense.	
anger	When I was in a lesson where the teacher was bad	
anger	Someone uses my stuff without asking and doesn’t put it back	
anger	My work colleague demeaned my role	
anger	I was trying to find something important that I hadn't used since I moved into this house over a year ago. I searched everywhere I could think off all day and couldn't find it	
anger	I was not given recognition in work, while a coworker was given recognition for work I had done	
anger	My ex partner got away with physically abusing me.	
anger	I felt ... when I caught my jeans belt loop on the door handle.	
anger	when my boss would do a football quiz with the men and leave the women out	
anger	rumours that were not true, were spread about me.	
anger	A person I assumed was a close friend, turned on me because I am not always running after her every demand, she likes attention too much, too high maintenance and on this one occasion I was too busy to go out with her she starts to get spiteful.	
anger	I felt ... when I failed critical exams during college due to bullying	
anger	I felt ... when I was at uni and someone stole my fishcake from the freezer. Had nothing to eat in the evening that day.	
anger	I felt ... when I was thrown out of the house I lived in by my mother.	
anger	Someone lied to me	
anger	My siblings don't listen to what I tell them to do and repeat actions they know no one in the house likes i.e. not washing their dishes	
anger	My mother invited my unvaccinated sister and her son over to play with my kids without my knowledge.	
anger	robbed and vunrable	
anger	I felt ... when my parents got a divorce.	
anger	when my husband doesn't want to spend time with his child.	
anger	I felt ... when a cyclist came hurtling out of a junction without looking and I nearly hit them as it was my right of way.	
anger	My partner moved out while I was at work	
anger	someone made light of my mental health and treated it as unimportant.	
anger	I feel somewhat due to being mistreated in the workplace	
anger	my ex-husband took me back to court over child custody.	
anger	i felt ... when an ex partner cheated. the sheer ... that rips through your body is un forgettable. not only was i ... at him i was also ... at my self for letting it get me that ..., a few word where said that i would never say out with the ...	
anger	when my friends were too drunk and expected me to look after them	
anger	a male in a crowed bar walked directly into me	
anger	when I was blamed for stealing from a previous job.	
anger	I missed the bus by a minute or so. I was ... at myself for not walking to the stop faster/waking up early etc.	
anger	my university cancelled a course I needed to take.	
anger	My brother decided to leave me out of a family engagement.	
anger	I felt ... when I went on a date and the man ignored me afterwards never speaking to me again.	
anger	When my father left and moved several hundred miles away from me and my family.	
anger	I felt ... because I was accused for an offense I didn't commit	
anger	Someone at our church wrote my husband, who is the pastor, a letter complaining about one of his lessons.	
anger	My surbodinate lied that I was misusing my company's fund for my selfish interest. I was really mad. However, the truth later surfaced that I was innocent of her accusations.	
anger	i felt ... when my upstairs neighbour ignored me telling him he had a leak and my bathroom was flooded as a result.	
anger	I felt ... when I was betrayed by my wife. She actually went ahead and slept with another man behind my back. When I found out, I was so ... I had to voluntarily go on a leave at work because I couldn't concentrate.	
anger	I got a low score on my biology quiz.	
anger	I was in school all day everyday	
anger	My opinion and concerns weren't being listened to.	
anger	I felt ... when my sister assumed I would watch her children because I felt she was taking advantage	
anger	i was in a restaurant and they forgot my order but they blamed me for it. i was still charged for the meal even though i never received it.	
anger	I felt ... because I was doing a raid on Pokemon Sword and the AI kept choosing bad moves.	
anger	my boyfriend lied to me about walking a girl home from a party	
anger	When I broke my laptop screen	
anger	Someone talked bad about my friend in front of me thinking I didn't hear or understand them	
anger	Being at work and colleagues miss treating service users	
anger	I felt ... when my cows escaped and it took 3 hours to get them back to their field on foot when I was unwell.	
anger	my mother-in-law interfered in my parenting	
anger	A client never showed up for a work meeting after a 4 hour drive	
anger	of the growing discourse in views between the common folk of my area. Seemingly every conservative has fallen off of the deep end of the alt-right side of the spectrum, and people who are centerists or even slightly leaning left are vilified.	
anger	I was advised I would be promoted then they gave it to someone else	
anger	I felt ... when I was ignored and left out of my supposed friend group just because I was unable to drive at the time.	
anger	My grandma fell because her children didn’t care for her properly	
anger	my husband left the house in a mess	
anger	I have to go to work	
anger	The item I wanted to purchase online went out of stock.	
anger	I felt ... when I couldn't merge onto the highway because somebody wanted to beat me in line.	
anger	I felt ... when I handed in my resignation at work and my employers were not very supportive of this and made my final weeks in the job really difficult and stressful.	
anger	Someone told me I was useless when I was just trying my best to help them. They were a customer.	
anger	My father and I had completely stopped seeing eye to eye, and he made a comment about my girlfriend which I took exception to and I lashed out at him.	
anger	My mum started grumbling about me watching 'Squid game' on Netflix.	
anger	people are bigots.	
anger	My dad died suddenly	
anger	when my Son smashed a window with his ball	
anger	I felt ... when my girl friend told me that she was no longer in love with me again	
anger	My dad died because the doctors didn’t find out what was wrong with him till it was too late	
anger	someone lying to me and blaming their behaviours on someone else	
anger	I was told I wasnt good enough for a job	
anger	my two daughters would not stop fighting over a book in their bedroom. I had already asked them to be quite and to separate, but the youngest could not stop herself by continuing the argument. We have all been at home due to COIVD for the last 10 weeks and this was just too much for me.	
anger	My daughter wasn’t invited to her best friends birthday party because her mum doesn’t like her	
anger	I was devastated by my mother's death and was very ... with the doctor.	
anger	My teenage son lies in bed all day	
anger	My dad was giving horrible advise, hypocritical and not staying consistent with his statements to my sister who was experiencing a break up which happens regularly not just with her but other people as well when discussing with others over romantic relationships.	
anger	i was forced out of my job pregnant	
anger	I had my doctors appointment and they weren't listening to me about how I felt and were just brushing me off, I've had symptoms for over a year and I'm ... I'm yet to have answers or someone seem like they want to actually help.	
anger	Four years ago I lost my favorite wristwatch that my wife gave me.	
anger	my line manager said I was doing the right thing in leaving my job as a mother to be a mum full time.	
anger	I was not allowed to work flexibly at my place of work.	
anger	My car failed it’s MOT	
anger	When I was robbed before	
anger	My girlfriend whom i broke up with and asked not to contact me, did so. Just to wish me a happy birthday.	
anger	i was not called out for an award which i was meant to recieve, my name was skipped mistakenly.	
anger	when it is taking a long time to get sorted for when i move house	
anger	I continuously bump into walls and start a cycle of impatience throughout a day. A chain loop that starts with frustration, but continues to make me concentrate less and by the fifth or so time I bump into a wall I'm genuinely ... and want to scream.	
anger	When I tested positive for covid	
anger	I missed the bus	
anger	my partner cheated on me	
anger	car insurance claim, advised to accept 50/50.  But I was not at fault.	
anger	a customer at work was being very impolite to me.	
anger	Sophie was rude to me	
anger	because i couldn't get to work on time as there was traffic	
anger	I felt ... when my parents were fighting particularly bad one evening.	
anger	When my workplace asked us to start working in the office again	
anger	I lost £50 in an online sports bet last night	
anger	My neighbours were playing basketball and the ball kept hitting my car and the glass in my door.	
anger	family members have a strong preference for one of my siblings.	
anger	People keep panic buying fuel which I need for work!	
anger	when a friend abused me	
anger	when work wound me up	
anger	I felt ... when details of the Sarah Everard case came out.	
anger	Someone rear ended me	
anger	"""I was """"dismissed"""" from my husband's family after 43 years of marriage by his sister."""	
anger	When I was quing for the post office yesterday and the guy at the end of the que kicked off at me because I was queuing outside. The sign stated only 3 people inside and there was 3 ahead of me already. I tried explain this to him but he kept getting annoyed and angry with me and wouldn't leave me alone.	
anger	A child that I was looking after was refusing to get off the bathroom floor and she needed to go to bed. Whenever I intervened she pushed me away	
anger	when my husband cheated on me	
anger	I was playing a sports game and my team was making really simple errors and turning on each other and i got frustrated and then ... because no one would take responsibility for their performance and we were losing by a lot of points	
anger	my neighbour rudely woke us and the whole neighbourhood up when she came back from the pub drunk and then was trying to smash up her boyfriend van	
anger	I felt ... when my housemate kept me up at night.	
anger	my girlfriend took my lunch	
anger	I found out that my colleague was behaving unprofessionally.	
anger	I was hit by a car whilst riding my motorcycle, and the car just drove away. They put their finances over my life.	
anger	The bus didn’t stop for me	
anger	got into an argument with my roommate about losing our house deposit	
anger	A friend was unnecessarily rude to his partner.	
anger	The guy next door blocks my drive for hours for no reason, he has a driveway too	
anger	I felt ... when a member of the family did not attend my wedding due to a disagreement with another family member.	
anger	A felt a situation was morally wrong. I was managing an internal video production when a member of staff walked past and ask to support and be in the video. There was no talk of payment and the participation was voluntary. The next week I received an email saying the member of staff wanted extra pay for their involvement to which i said no. The member of staff went to their Union and as such we ended up paying them, which I believe was condoning their inappropriate behaviour	
anger	I found out my ex was cheating	
anger	I was skipped in a queue to check in at an airport	
anger	I failed a 10 credit university exam which meant I had to take a supplementary year. Upon starting this supplementary year the unit that I had failed was changed into a 20 credit unit which has more content, and I was not registered for teaching so I would have to teach it to myself. The exam was also capped at 40% so even if I got a higher percentage in the exam I would only receive 40%, and it was weighted as a 20 credit unit even though I only failed a 10 credit unit, so my average grade for the year would go down.	
anger	my parents were scammed out $200.  Last year, my Dad noticed a charge on his Debit for over $200CAD for DoorDash, a service that was not even available in our area at the time.  I felt ... that my parents were subject to fraud such as this, and how they were treated by the bank while trying to figure out what had happened.	
anger	I was in a meeting with a social worker and other people regarding my teenage daughters welfare and the social worker made flippant comments such as 'we'd all like to find an island and put our teenagers on it for a few years' completely disregarding the real struggle my family was having, my daughter in particular	
anger	someone shouted at me	
anger	when my girlfriend said i was ugly	
anger	I was walking my dog who was very young at the time and a man started to swear and shout at me to keep my dog away from him and his dog. I had seen him do the same to others even pushing and kicking someone else's dog and all of these people were women.	
anger	My mother decided to arrange a wedding for my daughter without telling me , she told all other close family members	
anger	In the car with a member of my family, who volunteered to drive us in order to save me the stress and physical exertion of navigating/driving (I have a chronic illness which is easily triggered by this). They constantly interrupted my conversation with another passenger to ask me questions about what route to take and what to do, despite the fact they were using a navgiation app which told them everything they needed to know, they were driving in an area they were familiar with, and they had explicity offered to drive so I did not have to do that.	
anger	at the hospital the nurse did not check my temperature correctly - I then had to check it myself	
anger	a colleague entered a new situation at work and was annoyed and moaning rather than coming to me first to ask questions about the situation they had assumed the worst.	
anger	My sisters boyfriend had attitude when i was helping him for free at his house.	
anger	I felt ... because i missed my bus and i was already later for a meeting.	
anger	I lost in a video game after I had invested over 45 minutes in trying to complete a level in the game. I was ... because I had lost all my progress and the past 45 minutes felt like they counted for nothing and were wasted.	
anger	I was repeatedly and unjustifiably turned down for promotions at work.	
anger	My husband missed an important call, because his phone was on silent AGAIN!	
anger	a colleague took credit for my hard work	
anger	a bin bag exploded in the kitchen	
anger	I felt ... when one of my friends decided not to show up for a musical performance at my school that we needed him to be involved in. It disrupted the day and we had to get someone else to play his part. It made me frustrated and ... to the point where I wanted to hit something or knock something over because he had done it before, and my friend was ... as well.	
anger	When my boyfriend fell asleep when I was busy telling him a story that I had been waiting al day to tell him and was excited to share but he fell asleep half way through even though I’ve been travelling and on the road since 6.30am til 5	
anger	My boss asked me to work another shift when I had already worked 60 hours that week even when I was on a 15 hour contract	
anger	Someone made negative comments toward another member in a Facebook group I'm part of	
anger	i do not have money	
anger	I was racially harassed when enjoying a family day out in London	
anger	I felt ... when my coworker refused to help when it was really necessary	
anger	My wife and I just lost our custody appeal and have now lost our son to his evil bio dad	
anger	my boyfriend didn't help me clean the flat	
anger	when my employer discriminated against me	
anger	Argument with my sister	
anger	I was blamed for something at my new job that they had no proof I did. Me and another worker were both doing said task and either of us could have easily made the mistake.	
anger	Someone skipped in front of me in the petrol station queue	
anger	My husband had an affair	
anger	I was questioned on how much effort I put into my work. I had given it my best and that was seen as lazy and unfinished work in my supervisor's view. I was ... that my work was considered subpar and bothered me a lot.	
anger	I was trying my hardest to win a competitive video game, but my team mates weren't pulling their own weight.	
anger	An incompetent mistake by a colleague resulted in me having to redo work which took almost an entire day	
anger	my father decided to come around to my flat to tell me what a disappointment I was to him	
anger	I was the victim of a burglary. People broke into my house in the middle of the day when I was at work. They ransacked my house and stole numerous items of monetary and sentimental value.  They were never caught and I don't believe the police took the crime very seriously.	
anger	when i was cheated on	
anger	I felt ... when my partner waited to tell me 3 months later that he had texted his ex-partners.	
anger	when a lady hit my car on a roundabout because she was driving too fast and she tried to blame me after we stopped our cars to look at the damage.	
anger	I felt ... when someone broke into my car and stole my purse.	
anger	I was fired from my job	
anger	I was trying to get my broken TV fixed by the supplier	
anger	I felt ... when received a frightening letter from a debt collection agency despite never having borrowed money or been in debt at all in my life. I checked my credit score and credit information and it was much lower than I anticipated. It turned out it was because I was the victim of identity theft and someone had opened credit cards in my name but without my knowledge or permission. I then had contacted the collection agency who were extremely rude and threatening and after months of back and forth, I eventually was able to prove the debt wasn't mine. However, during this time I uncovered an email address attached to the credit card accounts that very closely matched one similar to that my stepdad uses so I was ... and phoned him up to confront him about it. He denied it but to this day, neither my partner or I trust him and I avoid contact with him as much as possible.	
anger	I felt ... when losing in video games as it was frustrating and made me ... at myself and the game.	
anger	Of a colleague who was not a team player	
anger	A housemate had friends over who took loads of drugs and smashed mirrors and messed up the house	
